@id;AOD;DNI;GHI;LST;amenity;building;building_l;building_r;capacity_p;height;id;jarak_jala;jarak_poi_;name;office;luas_atap_m2;luas_efektif_m2;GHI_tahunan;potensi_energi_kwh_thn;kapasitas_sistem_kwp;biaya_investasi_rp;penghematan_tahunan_rp;waktu_balik_modal_tahun;LST_norm;AOD_norm;indeks_degradasi;cluster;n_energi;n_roi;n_jarak;skor_prioritas_akhir;ranking
relation/9627236;0.413;263.937.691.635.052;464.667.651.028.684;296.480.844.288.644;place_of_worship;mosque;1;concrete;>200000;3;relation/9627236;674.657.509.878.079;435.083.201.980.568;Masjid Istiqlal;;208.365.185.315.065;125.019.111.189.039;16.960.369.262.547;23.854.165.769.717;187.528.666.783.558;281.293.000.175.337;344.621.132.875.102;816.238.394.403.061;0.458980404396457;0.369186046511628;0.414083225454042;0;0.556504706825378;0.957216403112746;0.925599573011359;0.696477075296652;1
way/156898982;0.485333333333333;262.599.992.752.075;463.800.001.144.409;356.896.500.220.339;;building;1;;;3;way/156898982;132.228.076.943.233;154.997.741.349.646;;;122.655.219.267.571;735.931.315.605.424;169.287.000.417.709;140.156.555.548.838;110.389.697.340.814;16.558.454.601.122;202.484.175.801.407;81.776.536.539.637;0.7419262941127;1;0.87096314705635;1;0.032620378276406;0.897678631174145;0.985418045096332;0.644643196363702;2
way/493578079;0.485333333333333;260.999.989.509.583;46.269.998.550.415;375.274.373.684.751;;building;1;;;3;way/493578079;832.075.727.065.351;0;Wisma Abadi;;21.791.161.754.946;130.746.970.529.676;168.885.494.709.015;248.414.251.495.605;196.120.455.794.514;294.180.683.691.772;358.884.069.135.701;819.709.507.864.881;0.827995768627048;1;0.913997884313524;1;0.0578800407699241;0.821875022976265;0.990823967943122;0.641049585393706;3
way/497132082;0.485333333333333;262.599.992.752.075;463.800.001.144.409;357.491.208.582.979;;building;1;;;3;way/497132082;116.383.488.611.329;230.848.936.802.489;Lynt Hotel Jakarta;;385.011.197.695.643;231.006.718.617.386;169.287.000.417.709;439.947.387.799.594;346.510.077.926.078;519.765.116.889.118;635.591.991.154.074;817.765.365.396.371;0.744711504075149;1;0.872355752037574;1;0.0101830354611679;0.897678631174138;0.9871653674341;0.6385222431151;4
way/121706055;0.412543816543817;249.902.137.579.628;454.169.986.442.974;33.874.200.781.769;;building;11;concrete;;33;way/121706055;39.231.186.871.334;0;Thamrin City;;383.046.829.395.049;229.828.097.637.029;165.772.045.051.685;428.614.579.750.823;344.742.146.455.544;517.113.219.683.316;619.219.483.366.014;835.104.891.842.777;0.656902984740347;0.365207702417004;0.511055343578676;0;1;0.221597176049585;0.956736314177754;0.637753435836207;5
way/498803491;0.485333333333333;262.599.992.752.075;463.800.001.144.409;357.986.477.518.919;;building;1;;;3;way/498803491;129.484.695.989.675;201.392.132.788.936;;;239.691.885.181.307;143.815.131.108.784;169.287.000.417.709;273.892.861.800.964;215.722.696.663.176;323.584.044.994.764;395.693.017.443.852;81.776.536.539.637;0.747031007315945;1;0.873515503657972;1;0.00630850141944119;0.897678631174145;0.98572058188181;0.63743310297484;6
way/498803255;0.482078869047619;262.367.746.787.018;463.640.330.096.773;35.515.861.446.875;;building;1;;;3;way/498803255;121.544.205.712.292;965.838.597.219.489;;;79.366.157.880.254;476.196.947.281.524;169.228.720.485.322;906.594.750.984.023;714.295.420.922.286;107.144.313.138.343;130.975.743.674.662;818.046.992.002.465;0.733787217864576;0.971618044019932;0.852702630942255;1;0.0210712728233643;0.88669779347719;0.986596249696199;0.63349581508016;7
way/498803475;0.485333333333333;261.926.980.592.498;463.337.299.643.589;359.822.954.716.327;;building;1;;;3;way/498803475;219.190.249.274.003;111.133.010.375.673;;;975.550.217.274.129;585.330.130.364.477;16.911.811.436.991;111.363.668.922.526;877.995.195.546.716;131.699.279.332.007;160.887.092.492.373;818.582.008.611.106;0.755631818919341;1;0.87781590945967;1;0.0259021621529775;0.865837084944914;0.975827960262861;0.633349945533714;8
way/498803492;0.485333333333333;262.599.992.752.075;463.800.001.144.409;360.637.258.372.093;;building;1;;;3;way/498803492;523.710.556.757.564;246.625.555.400.874;;;309.625.718.368.631;185.775.431.021.179;169.287.000.417.709;353.805.361.524.927;278.663.146.531.768;417.994.719.797.652;511.142.605.795.063;81.776.536.539.637;0.759445464055306;1;0.879722732027653;1;0.00817309197292319;0.897678631174145;0.942245823294455;0.633023073445202;9
way/498803490;0.485333333333333;262.599.992.752.075;463.800.001.144.409;358.440.981.800.001;;building;1;;;3;way/498803490;412.834.767.003.458;211.612.193.007.468;;;158.746.803.335.233;952.480.820.011.401;169.287.000.417.709;181.397.948.597.021;14.287.212.300.171;214.308.184.502.565;262.065.616.338.117;817.765.365.396.371;0.749159596606374;1;0.874579798303187;1;0.00415032664076523;0.897678631174138;0.954473073387467;0.632364597928388;10
